contamination,nu,fold,TP,TN,FP,FN,ACC,PREC,REC,F1,ROC_AUC,PR_AUC
0.03,0.03,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995528892822734,0.9995282593558599
0.03,0.03,2,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.999773997370151,0.9997701193727007
0.03,0.03,3,2941,2941,23,23,0.9922402159244265,0.9922402159244265,0.9922402159244265,0.9922402159244265,0.9992913158532166,0.9992173939539768
0.03,0.08,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995557918594888,0.9995293584370585
0.03,0.08,2,2944,2944,20,20,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9997722330585105,0.9997673931555959
0.03,0.08,3,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9992735589102518,0.999194720806462
0.03,0.12,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995108303692897,0.9994783835431157
0.03,0.12,2,2943,2943,21,21,0.992914979757085,0.992914979757085,0.992914979757085,0.992914979757085,0.9997829327549123,0.9997786053528358
0.03,0.12,3,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9992561434469596,0.9991730310314363
0.08,0.03,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995528892822734,0.9995282593558599
0.08,0.03,2,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.999773997370151,0.9997701193727007
0.08,0.03,3,2941,2941,23,23,0.9922402159244265,0.9922402159244265,0.9922402159244265,0.9922402159244265,0.9992913158532166,0.9992173939539768
0.08,0.08,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995557918594888,0.9995293584370585
0.08,0.08,2,2944,2944,20,20,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9997722330585105,0.9997673931555959
0.08,0.08,3,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9992735589102518,0.999194720806462
0.08,0.12,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995108303692897,0.9994783835431157
0.08,0.12,2,2943,2943,21,21,0.992914979757085,0.992914979757085,0.992914979757085,0.992914979757085,0.9997829327549123,0.9997786053528358
0.08,0.12,3,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9992561434469596,0.9991730310314363
0.12,0.03,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995528892822734,0.9995282593558599
0.12,0.03,2,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.999773997370151,0.9997701193727007
0.12,0.03,3,2941,2941,23,23,0.9922402159244265,0.9922402159244265,0.9922402159244265,0.9922402159244265,0.9992913158532166,0.9992173939539768
0.12,0.08,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995557918594888,0.9995293584370585
0.12,0.08,2,2944,2944,20,20,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9997722330585105,0.9997673931555959
0.12,0.08,3,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9992735589102518,0.999194720806462
0.12,0.12,1,2939,2939,25,25,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9915654520917678,0.9995108303692897,0.9994783835431157
0.12,0.12,2,2943,2943,21,21,0.992914979757085,0.992914979757085,0.992914979757085,0.992914979757085,0.9997829327549123,0.9997786053528358
0.12,0.12,3,2942,2942,22,22,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9925775978407557,0.9992561434469596,0.9991730310314363
