Model,Fold,FitSec,InferSec,TP,TN,FP,FN,ACC,PREC,REC,F1,ROC_AUC,PR_AUC
IF,1,3.582123041152954,0.10466575622558594,1568,1567,211,210,0.8816085489313836,0.8813940415964024,0.8818897637795275,0.8816418330053416,0.9577219256479329,0.9547122517611547
LOF,1,68.14115834236145,1.4641351699829102,1754,1754,24,24,0.9865016872890888,0.9865016872890888,0.9865016872890888,0.9865016872890888,0.9950728881049598,0.9931610539314506
OCSVM,1,215.72505855560303,2.0566182136535645,1772,1772,6,6,0.9966254218222722,0.9966254218222722,0.9966254218222722,0.9966254218222722,0.9998095710477135,0.9998013053505742
KMeans,1,0.9626214504241943,0.0013039112091064453,1773,1773,5,5,0.9971878515185602,0.9971878515185602,0.9971878515185602,0.9971878515185602,0.9984734051100755,0.9920898063663237
zScore,1,0.0,0.019973039627075195,1778,1778,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
Autoencoder,1,16.615275144577026,0.010415077209472656,1775,1775,3,3,0.9983127109111362,0.9983127109111362,0.9983127109111362,0.9983127109111362,0.9994413662296712,0.997962726201586
Ensemble,1,287.44833993911743,3.6254191398620605,1764,1764,14,14,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9993613354573648,0.9992934697957283
WeightedEnsemble,1,287.44833993911743,3.6254191398620605,1768,1768,10,10,0.9943757030371203,0.9943757030371203,0.9943757030371203,0.9943757030371203,0.9983152415284422,0.9968068508926391
IF,2,3.6893482208251953,0.10469532012939453,1553,1553,225,225,0.8734533183352081,0.8734533183352081,0.8734533183352081,0.8734533183352081,0.9464785511203675,0.9447082467971721
LOF,2,69.91633915901184,1.4688546657562256,1756,1756,22,22,0.9876265466816648,0.9876265466816648,0.9876265466816648,0.9876265466816648,0.9957017465055338,0.994008749840779
OCSVM,2,276.38726568222046,2.044410228729248,1772,1772,6,6,0.9966254218222722,0.9966254218222722,0.9966254218222722,0.9966254218222722,0.9999291427154283,0.999928505788924
KMeans,2,0.8685605525970459,0.0012509822845458984,1773,1773,5,5,0.9971878515185602,0.9971878515185602,0.9971878515185602,0.9971878515185602,0.9984866908509328,0.9967669559305672
zScore,2,0.0,0.01839303970336914,1778,1778,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Autoencoder,2,12.831714391708374,0.0008177757263183594,1778,1778,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Ensemble,2,349.9929530620575,3.617960214614868,1759,1759,19,19,0.9893138357705287,0.9893138357705287,0.9893138357705287,0.9893138357705287,0.9992982281882932,0.9992332001430437
WeightedEnsemble,2,349.9929530620575,3.617960214614868,1760,1760,18,18,0.9898762654668166,0.9898762654668166,0.9898762654668166,0.9898762654668166,0.9987476607606276,0.9984210437721739
IF,3,3.633044719696045,0.10593056678771973,1560,1560,218,218,0.8773903262092239,0.8773903262092239,0.8773903262092239,0.8773903262092239,0.9561613255879573,0.9562089362638463
LOF,3,68.31095862388611,1.4922707080841064,1753,1753,25,25,0.9859392575928009,0.9859392575928009,0.9859392575928009,0.9859392575928009,0.9945677136252231,0.9924369211115583
OCSVM,3,215.0622787475586,2.048584222793579,1774,1774,4,4,0.9977502812148481,0.9977502812148481,0.9977502812148481,0.9977502812148481,0.9999614080860815,0.9999611171320472
KMeans,3,0.8862974643707275,0.0010886192321777344,1775,1775,3,3,0.9983127109111362,0.9983127109111362,0.9983127109111362,0.9983127109111362,0.9994556009520181,0.998302571922672
zScore,3,0.0,0.018041610717773438,1778,1778,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Autoencoder,3,12.98543095588684,0.0011038780212402344,1778,1778,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Ensemble,3,287.00628209114075,3.6467854976654053,1767,1767,11,11,0.9938132733408324,0.9938132733408324,0.9938132733408324,0.9938132733408324,0.9995728001660086,0.9995488581367716
WeightedEnsemble,3,287.00628209114075,3.6467854976654053,1768,1768,10,10,0.9943757030371203,0.9943757030371203,0.9943757030371203,0.9943757030371203,0.9990314062260778,0.9987462467077489
IF,4,3.657710075378418,0.11018061637878418,1558,1558,220,220,0.876265466816648,0.876265466816648,0.876265466816648,0.876265466816648,0.9519144752575219,0.9489495303606824
LOF,4,70.89175724983215,1.4906079769134521,1751,1751,27,27,0.984814398200225,0.984814398200225,0.984814398200225,0.984814398200225,0.9958529508895754,0.9944997118966401
OCSVM,4,339.5591673851013,2.1252756118774414,1770,1770,8,8,0.9955005624296963,0.9955005624296963,0.9955005624296963,0.9955005624296963,0.9998206424984278,0.9998036801464647
KMeans,4,0.9892845153808594,0.001348257064819336,1769,1769,9,9,0.9949381327334084,0.9949381327334084,0.9949381327334084,0.9949381327334084,0.9989573856698732,0.9982657050870791
zScore,4,0.0,0.018585205078125,1778,1778,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Autoencoder,4,12.913367509841919,0.000957489013671875,1776,1776,2,2,0.9988751406074241,0.9988751406074241,0.9988751406074241,0.9988751406074241,0.9999357855858568,0.9999329125941442
Ensemble,4,414.1086347103119,3.7260642051696777,1766,1766,12,12,0.9932508436445444,0.9932508436445444,0.9932508436445444,0.9932508436445444,0.9993738303803139,0.9993340298835891
WeightedEnsemble,4,414.1086347103119,3.7260642051696777,1759,1759,19,19,0.9893138357705287,0.9893138357705287,0.9893138357705287,0.9893138357705287,0.9979827816798491,0.9966496134955829
IF,5,3.700516939163208,0.10449504852294922,1583,1583,195,195,0.890326209223847,0.890326209223847,0.890326209223847,0.890326209223847,0.9546706338310635,0.949657961432914
LOF,5,69.97527408599854,1.4280383586883545,1758,1758,20,20,0.9887514060742407,0.9887514060742407,0.9887514060742407,0.9887514060742407,0.9960414818788822,0.9944519094478337
OCSVM,5,341.34452080726624,2.0555996894836426,1775,1775,3,3,0.9983127109111362,0.9983127109111362,0.9983127109111362,0.9983127109111362,0.9999247141351425,0.9999221150069408
KMeans,5,0.9051365852355957,0.001216888427734375,1774,1774,4,4,0.9977502812148481,0.9977502812148481,0.9977502812148481,0.9977502812148481,0.9986856606366274,0.993329339030294
zScore,5,0.0,0.017616987228393555,1778,1778,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Autoencoder,5,13.021292209625244,0.0009009838104248047,1776,1776,2,2,0.9988751406074241,0.9988751406074241,0.9988751406074241,0.9988751406074241,0.9999696325923264,0.9999692111883661
Ensemble,5,415.020311832428,3.5881330966949463,1767,1767,11,11,0.9938132733408324,0.9938132733408324,0.9938132733408324,0.9938132733408324,0.9990984675846903,0.9989520442693343
WeightedEnsemble,5,415.020311832428,3.5881330966949463,1764,1764,14,14,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9989023447434651,0.9978215122764861
