,Fold,Fold,FitSec,FitSec,InferSec,InferSec,TP,TP,TN,TN,FP,FP,FN,FN,ACC,ACC,PREC,PREC,REC,REC,F1,F1,ROC_AUC,ROC_AUC,PR_AUC,PR_AUC
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoencoder,3.0,1.5811388300841898,13.673416042327881,1.6461515263046014,0.0028390407562255858,0.004236417474234855,1776.6,1.3416407864998674,1776.6,1.3416407864998674,1.4,1.3416407864998738,1.4,1.3416407864998738,0.9992125984251968,0.000754578620078676,0.9992125984251968,0.000754578620078676,0.9992125984251968,0.000754578620078676,0.9992125984251968,0.000754578620078676,0.9998693568815709,0.00024071728117233188,0.9995729699968192,0.0009005776038975903
Ensemble,3.0,1.5811388300841898,350.7153043270111,63.6708693513322,3.640872430801392,0.05205241107091041,1764.6,3.3615472627943537,1764.6,3.3615472627943537,13.4,3.361547262794322,13.4,3.361547262794322,0.9924634420697412,0.001890634006071034,0.9924634420697412,0.001890634006071034,0.9924634420697412,0.001890634006071034,0.9924634420697412,0.001890634006071034,0.9993409323553342,0.00017020139477473296,0.9992723204456935,0.00021496259648009228
IF,3.0,1.5811388300841898,3.652548599243164,0.04749203925097988,0.10599346160888672,0.002409846234064398,1564.4,11.717508267545599,1564.2,11.649034294738758,213.8,11.649034294738774,213.6,11.717508267545622,0.8798087739032621,0.006569843333575252,0.8797658724362659,0.006555837981116626,0.8798650168728909,0.006590274616167373,0.8798154307180537,0.006572139295253191,0.9533893822889686,0.004416761973339563,0.9508473853231539,0.0046472848407341175
KMeans,3.0,1.5811388300841898,0.9223801136016846,0.05145727878410485,0.0012417316436767578,9.919694299287198e-05,1772.8,2.280350850198286,1772.8,2.280350850198286,5.2,2.280350850198276,5.2,2.280350850198276,0.9970753655793025,0.001282537036107005,0.9970753655793025,0.001282537036107005,0.9970753655793025,0.001282537036107005,0.9970753655793025,0.001282537036107005,0.9988117486439055,0.0004098149092062428,0.9957508756673873,0.0028781594814473246
LOF,3.0,1.5811388300841898,69.44709749221802,1.1813645354636908,1.4687813758850097,0.0260275589068164,1754.4,2.7018512172212246,1754.4,2.7018512172212246,23.6,2.701851217221259,23.6,2.701851217221259,0.986726659167604,0.001519601359517032,0.986726659167604,0.001519601359517032,0.986726659167604,0.001519601359517032,0.986726659167604,0.001519601359517032,0.9954473562008349,0.0006115971336655456,0.9937116692456524,0.0008923821611719493
OCSVM,3.0,1.5811388300841898,277.6156582355499,62.536482977583645,2.066097593307495,0.03346327253232504,1772.6,1.9493588689618102,1772.6,1.9493588689618102,5.4,1.949358868961793,5.4,1.949358868961793,0.9969628796400449,0.001096377316626423,0.9969628796400449,0.001096377316626423,0.9969628796400449,0.001096377316626423,0.9969628796400449,0.001096377316626423,0.9998890956965587,6.91222262993065e-05,0.9998833446849902,7.527965824811957e-05
WeightedEnsemble,3.0,1.5811388300841898,350.7153043270111,63.6708693513322,3.640872430801392,0.05205241107091041,1763.8,4.266145801540307,1763.8,4.266145801540307,14.2,4.266145801540309,14.2,4.266145801540309,0.9920134983127109,0.002399407087480476,0.9920134983127109,0.002399407087480476,0.9920134983127109,0.002399407087480476,0.9920134983127109,0.002399407087480476,0.9985958869876924,0.0004362592788501401,0.9976890534289261,0.0009393787212505013
zScore,3.0,1.5811388300841898,0.0,0.0,0.018521976470947266,0.0008910616723649493,1778.0,0.0,1778.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
