,count,mean,std,min,25%,50%,75%,max
process_id,222308.0,43807.93472119762,523.3805882963592,30438.0,43828.0,43828.0,43829.0,43829.0
application_number,222308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_vars,222308.0,56.461045036615864,0.8555198418570887,48.0,56.0,56.0,56.0,58.0
vars_size_bytes,222308.0,923.3738102092592,19.202233844135126,751.0,915.0,915.0,915.0,1467.0
response_size_bytes,222308.0,111.42249491696205,69.99729363840194,0.0,109.0,109.0,109.0,3519.0
processing_time_ms,222308.0,11.508195836407147,5.971467040483806,0.0,6.0,13.0,15.0,174.0
http_version,222308.0,1.0999999999999999,3.9852655325921224e-12,1.1,1.1,1.1,1.1,1.1
status,222308.0,400.5406238192058,9.421548784478635,200.0,401.0,401.0,401.0,409.0
num_headers,222308.0,5.997795850801591,0.05310427474854934,3.0,6.0,6.0,6.0,6.0
headers_size_bytes,222308.0,249.8845385681127,3.981990124801376,132.0,250.0,250.0,250.0,384.0
core_switches,222308.0,1.2669089731363694,0.48257564985053875,0.0,1.0,1.0,1.0,3.0
core_number,222308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
